Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2020,19,Huntington Ingalls Industries,"Mike Petters, President and CEO",U.S.,"$8,119.00","$7,767.00",5%,"$8,899.00",91%
2020,20,China Aerospace Science and Technology Corporation,"Wu Yansheng, Chairman of the Board, Xu Qiang, President, and Fang Xiangming, Executive Director *",China,"$7,745.57","$8,138.47",-5%,"$36,223.21",21%
2020,21,Mitsubishi Heavy Industries 7,"Seiji Izumisawa, President and CEO",Japan,"$6,570.00",N/A,N/A,"$37,670.00",17%
2020,22,Dassault 8,"Eric Trappier, Chairman and CEO",France,"$5,708.84","$2,934.43",95%,"$8,171.48",70%
2020,23,Leidos,"Roger Krone, Chairman and CEO",U.S.,"$5,364.00","$5,378.00",0%,"$11,094.00",48%
2020,24,China State Shipbuilding Corporation 6,"Lei Fanpei, Chairman, and Yang Jincheng, Director and General Manager",China,"$5,356.75","$4,954.07",8%,"$33,495.61",16%
2020,25,Honeywell,"Darius Adamczyk, Chairman and CEO",U.S.,"$5,326.00","$4,665.00",14%,"$36,709.00",15%
2020,26,Booz Allen Hamilton,"Horacio D. Rozanski, President and CEO",U.S.,"$5,182.96","$4,700.00",10%,"$7,463.84",69%
2020,27,Rolls-Royce,"Warren East, CEO",U.K.,"$4,712.36","$4,682.36",1%,"$19,725.28",24%
2020,28,Safran 9,"Philippe Petitcolin, CEO",France,"$4,413.05","$1,636.67",170%,"$27,581.55",16%
2020,29,GE Aviation,"David Joyce, GE Vice Chairman; President and CEO of GE Aviation",U.S.,"$4,400.00","$4,100.00",7%,"$32,875.00",13%
2020,30,Naval Group,"Pietre-Eric Pommelet, CEO *",France,"$4,155.14","$4,260.53",-2%,"$4,155.14",100%
2020,31,Elbit Systems Ltd.,"Bezhalel Machlis, President and CEO",Israel,"$4,056.00","$3,326.65",22%,"$4,508.00",90%
2020,32,Hanwha 10,"Seung Youn Kim, Chairman",South Korea,"$3,976.23","$4,281.48",-7%,"$42,900.00",9%
2020,33,Rheinmetall AG,"Armin Papperger, CEO",Germany,"$3,942.46","$3,803.54",4%,"$7,001.73",56%
2020,34,CACI International Inc.,"John Mengucci, President and CEO *",U.S.,"$3,489.85","$3,032.75",15%,"$4,986.34",70%
2020,35,Tactical Missiles Corporation JSC,"Boris Obnosov, Director General",Russia,"$3,474.90","$3,591.46",-3%,"$3,546.46",98%
2020,36,SAIC,"Nazzic Keene, CEO",U.S.,"$3,317.08","$2,795.40",19%,"$6,379.00",52%
2020,37,Perspecta Inc.,"Mac Curtis, President and CEO",U.S.,"$3,300.00","$2,817.70",17%,"$4,504.00",73%
2020,38,Textron Inc.,"Scott C. Donnelly, Chairman and CEO",U.S.,"$3,271.20","$3,350.00",-2%,"$13,630.00",24%
2020,39,Babcock International,"Archie Bethel, Chief Executive",U.K.,"$3,233.92","$2,909.79",11%,"$6,220.17",52%
2020,40,Saab AB,"Micael Johansson, President and CEO *",Sweden,"$3,185.19","$3,243.68",-2%,"$3,747.29",85%
2020,41,Israel Aerospace Industries Ltd.,"Nimrod Sheffer, President and CEO",Israel,"$3,006.00","$2,647.00",14%,"$4,108.00",73%
2020,42,KBR,"Stuart Bradie, President and CEO",U.S.,"$2,852.62","$2,425.78",18%,"$5,639.38",51%
2020,43,KNDS 11,"Frank Haun, Co-CEO, and Stephane Mayer, Co-CEO",Netherlands,"$2,798.45","$2,597.89",8%,"$2,798.45",100%
2020,44,Rafael Advanced Defense Systems Ltd.,"Yoav Har-Even, President and CEO",Israel,"$2,746.65","$2,592.00",6%,"$2,746.65",100%
2020,45,Hindustan Aeronautics Ltd.,"Rajagopalan Madhavan, Chairman and Managing Director",India,"$2,710.00","$2,754.60",-2%,"$3,010.00",90%
2020,46,Amentum 12,"John Vollmer, CEO",U.S.,"$2,700.00","$2,200.00",23%,"$4,100.00",66%
2020,47,Bechtel,"Brendan Bechtel, Chairman and CEO",U.S.,"$2,303.00","$3,745.00",-39%,"$21,800.00",11%
2020,48,Aselsan A.S.,"Haluk Görgün, Chairman, President and CEO",Turkey,"$2,172.57","$1,792.63",21%,"$2,290.61",95%
2020,49,Jacobs 13,"Steve Demetriou, Chair of the Board and CEO",U.S.,"$2,115.00","$1,567.00",35%,N/A,N/A
2020,50,Oshkosh Defense,"John Bryant, Executive Vice President, Oshkosh Corporation; President, Oshkosh Defense",U.S.,"$2,032.00","$1,828.90",11%,"$8,382.00",24%
2020,51,"Aerojet Rocketdyne Holdings, Inc.","Eileen Drake, CEO and President",U.S.,"$1,982.00","$1,895.90",5%,"$1,982.00",100%
2020,52,TransDigm 1,"Kevin Stein, President, CEO and Director",U.S.,"$1,932.59","$1,333.89",45%,"$5,223.20",37%
2020,53,Turkish Aerospace Industries 14,"Temel Kotil, President and CEO",Turkey,"$1,858.35","$1,307.65",42%,"$2,266.79",82%
2020,54,Cobham 15,"Shonnel Malani, Chairman *",U.K.,"$1,787.40","$1,588.37",13%,"$2,628.76",68%
2020,55,Korea Aerospace Industries Ltd.,"Ahn Hyun-ho, President and CEO *",South Korea,"$1,740.87","$1,694.35",3%,"$2,667.20",65%
2020,56,DynCorp International,"George Krivo, CEO",U.S.,"$1,730.34","$1,803.40",-4%,N/A,N/A
2020,57,ST Engineering 16,"Vincent Chong, President and CEO",Singapore,"$1,685.80","$1,556.58",8%,"$5,790.36",29%
2020,58,Fincantieri S.p.A.,"Giuseppe Bono, CEO",Italy,"$1,682.74","$1,693.51",-1%,"$6,547.50",26%
2020,59,Sierra Nevada Corp.,"Eren Ozmen, Chairwoman, President and Owner, and Fatih Ozmen, CEO and Owner",U.S.,"$1,591.00","$1,500.00",6%,"$1,989.00",80%
2020,60,Serco,"Rupert Soames, CEO",U.K.,"$1,493.76","$1,264.02",18%,"$4,146.78",36%
2020,61,Bharat Electronics Ltd.,"M V Gowtama, Chairman and Managing Director",India,"$1,390.00","$1,144.94",21%,"$1,780.00",78%
2020,62,Melrose Industries 17,"Simon Peckham, Chief Executive",U.K.,"$1,376.30","$1,366.40",1%,"$14,799.70",9%
2020,63,Vectrus,"Chuck Prow, President and CEO",U.S.,"$1,367.63","$1,232.74",11%,"$1,382.64",99%
2020,64,Austal,"David Singleton, CEO",Australia,"$1,289.64","$1,055.14",22%,"$1,324.47",97%
2020,65,QinetiQ Plc,"Steve Wadey, CEO",U.K.,"$1,274.16","$1,118.80",14%,"$1,369.92",93%
2020,66,Ball Corporation,"John A. Hayes, Chairman, President and CEO *",U.S.,"$1,256.00",$934.00,34%,"$11,500.00",11%
2020,67,Hensoldt,"Thomas Mueller, CEO",Germany,"$1,247.17","$1,310.89",-5%,"$1,247.17",100%
2020,68,LIG Nex1,"Kim Ji Chan, President and CEO",South Korea,"$1,246.42","$1,341.23",-7%,"$1,246.42",100%
2020,69,Viasat 18,"Mark Dankberg, Chairman of the Board and CEO",U.S.,"$1,138.10",$955.60,19%,"$2,300.00",49%
2020,70,PAE,"John Heller, President and CEO",U.S.,"$1,082.00",$980.00,10%,"$2,764.00",39%
2020,71,Moog Inc.,"John R. Scannell, CEO",U.S.,"$1,081.43",$925.02,17%,"$2,904.66",37%
2020,72,Curtiss-Wright Corporation,"David C. Adams, Chairman and CEO",U.S.,"$1,079.05",$960.60,12%,"$2,487.96",43%
2020,73,Meggitt,"Tony Wood, CEO",U.K.,"$1,052.01",$975.98,8%,"$2,905.81",36%
2020,74,CAE,"Marc Parent, President and CEO",Canada,"$1,001.08",$995.33,1%,"$2,724.55",37%
2020,75,Ultra Electronics,"Simon Pryce, CEO",U.K.,$906.26,$890.29,2%,"$1,053.80",86%
2020,76,Ruag 1 19,"Urs Kiener, CEO ad int. and Chief Financial Officer *",Switzerland,$886.86,$898.65,-1%,"$2,015.59",44%
2020,77,Kongsberg 20,"Geir Haoy, President and CEO",Norway,$823.43,$750.00,10%,"$2,736.93",30%
2020,78,Day & Zimmermann,"Hal Yoh, Chair and CEO",U.S.,$821.10,$773.77,6%,"$2,457.00",33%
2020,79,Embraer,"Francisco Gomes Neto, President and CEO",Brazil,$775.00,$728.00,6%,"$5,463.00",14%
2020,80,Teledyne Technologies,"Robert Mehrabian, Executive Chairman, and Aldo Pichelli, President and CEO",U.S.,$759.80,$655.30,16%,"$3,163.60",24%
2020,81,AAR Corp.,"John M. Holmes, President and CEO",U.S.,$739.79,$493.72,50%,"$2,051.80",36%
2020,82,Cubic Corporation,"Bradley H. Feldmann, Chairman, President and CEO",U.S.,$646.70,$532.18,22%,"$1,496.00",43%
2020,83,Indra,"Fernando Abril-Martorell, Chairman and CEO, and Ignacio Mataix, Executive Director, Indra; Senior Vice President, Transport & Defense business",Spain,$633.57,$732.13,-13%,"$3,586.50",18%
2020,84,Peraton,"Stu Shea, Chairman, President and CEO",U.S.,$631.29,$638.27,-1%,"$1,029.69",61%
2020,85,Mercury Systems,"Mark Aslett, President and CEO",U.S.,$622.59,$473.46,32%,$654.74,95%
2020,86,Diehl Group,"Karl Tragl, CEO",Germany,$577.60,$547.92,5%,"$4,062.23",14%
2020,87,Battelle,"Lewis Von Thaer, President and CEO",U.S.,$560.00,$440.00,27%,"$8,200.00",7%
2020,88,John Cockerill Defense,"Thierry Renaudin, President",Belgium,$548.16,$595.15,-8%,$548.16,100%
2020,89,BMC Otomotiv Sanayi ve Ticaret A.S.,"Bulent Denkdemir, CEO",Turkey,$533.56,$554.18,-4%,$676.59,79%
2020,90,Patria 1 21,"Esa Rautalinko, President and CEO",Finland,$522.64,$524.00,0%,$568.09,92%
2020,91,Roketsan A.S,"Selcuk Yasar, President and CEO",Turkey,$515.18,$522.76,-1%,$515.18,100%
2020,92,STM Savunma Teknolojileri Muhendislik ve Ticaret A.S.,"Murat Ikinci, General Manager",Turkey,$485.08,$564.83,-14%,$503.73,96%
2020,93,DLT Solutions,"Chris Wilkinson, President",U.S.,$468.70,$437.39,7%,"$1,241.09",38%
2020,94,Nammo 1 22,"Morten Brandtzaeg, President and CEO",Norway,$461.26,$487.67,-5%,$576.57,80%
2020,95,Hyundai Rotem Company 23,"Yong-Bae Lee, CEO *",South Korea,$449.82,$459.95,-2%,"$2,040.00",22%
2020,96,Chemring,"Michael Ord, Group Chief Executive",U.K.,$385.17,$336.90,14%,$427.96,90%
2020,97,Allegheny Technologies Inc.,"Robert S. Wetherbee, President and CEO",U.S.,$377.10,$277.10,36%,"$4,122.50",9%
2020,98,FNSS Savunma Sistemleri A.S.,"Nail Kurt, General Manager and CEO",Turkey,$374.94,$367.54,2%,$374.94,100%
2020,99,Havelsan A.S.,"Ahmet Hamdi Atalay, General Manager and CEO",Turkey,$295.61,$278.60,6%,$342.27,86%
2020,100,Telephonics Corporation,"Kevin McSweeney, President",U.S.,$295.51,$288.11,3%,"$2,209.29",13%
2019,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",U.S.,"$50,536.00","$47,985.00",5%,"$53,762.00",94%
2019,2,Boeing 2,"Dennis Muilenburg, Chairman, President and CEO",U.S.,"$34,050.00","$20,561.00",66%,"$101,127.00",34%
2019,3,Northrop Grumman,"Kathy J. Warden, CEO and President *",U.S.,"$25,300.00","$21,700.00",17%,"$30,095.00",84%
2019,4,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",U.S.,"$25,163.94","$23,573.64",7%,"$27,058.00",93%
2019,5,Aviation Industry Corporation of China,"Tan Ruisong, Chairman of the Board, and Luo Ronghuai, President",China,"$24,902.01","$22,898.73",9%,"$66,405.36",38%
2019,6,General Dynamics,"Phebe Novakovic, Chairman and CEO",U.S.,"$24,055.00","$19,587.00",23%,"$36,200.00",66%
2019,7,BAE Systems 3,"Charles Woodburn,CEO",U.K.,"$22,477.48","$22,380.04",0%,"$24,569.06",91%
2019,8,China North Industries Group Corporation Limited,"Jiao Kaihe, Chairman, and Liu Dashan, President",China,"$14,777.77","$14,206.36",4%,"$68,100.30",22%
2019,9,Airbus 4,"Guillaume Faury, CEO *",Netherlands/France,"$13,063.82","$11,185.91",17%,"$75,220.59",17%
2019,10,China Aerospace Science and Industry Corporation,"Gao Hongwei, Chairman of the Board, and Liu Shiquan, General Manager",China,"$12,130.93","$11,206.28",8%,"$37,909.17",32%
2019,11,China South Industries Group Corporation,"Xu Ping, CEO, and Gong Yande, Director and General Manager",China,"$11,963.37","$14,121.77",-15%,"$38,591.53",31%
2019,12,China Electronics Technology Group,"Xiong Qunli, Chairman",China,"$10,275.58","$9,518.91",8%,"$33,354.01",31%
2019,13,Leonardo,"Alessandro Profumo, CEO",Italy,"$9,828.51","$8,856.48",11%,"$14,453.69",68%
2019,14,China Shipbuilding Industry Corporation,"Hu Wenming, Chairman of the Board, and Wu Yongjie, President",China,"$9,795.47","$9,337.91",5%,"$48,977.36",20%
2019,15,Almaz-Antey,"Yan Novikov, CEO",Russia,"$9,660.14","$9,125.02",6%,"$9,896.67",98%
2019,16,Thales 1,"Patrice Caine, Chairman and CEO",France,"$9,575.57","$8,926.13",7%,"$18,775.63",51%
2019,17,"United Technologies 1, 5","Gregory Hayes, Chairman and CEO",U.S.,"$9,310.00","$7,826.00",19%,"$66,500.00",14%
2019,18,L3 Technologies 6,"Bill Brown, Chairman, President and CEO",U.S.,"$8,249.00","$7,749.00",6%,"$10,200.00",81%
2019,19,China Aerospace Science and Technology Corporation,"Wu Yansheng, Chairman of the Board, and Yuan Jie, Executive Director and President",China,"$8,138.47","$7,514.73",8%,"$38,030.23",21%
2019,20,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",U.S.,"$7,767.00","$7,030.00",10%,"$8,176.00",95%
2019,21,Leidos,"Roger Krone, Chairman and CEO",U.S.,"$5,378.00","$5,218.00",3%,"$10,194.00",53%
2019,22,China State Shipbuilding Corporation,"Lei Fan Pei, Chairman, and Yang Jin Cheng, General Manager",China,"$4,954.07","$4,842.69",2%,"$30,962.94",16%
2019,23,Booz Allen Hamilton,"Horacio D. Rozanski, President and CEO",U.S.,"$4,700.00","$4,320.00",9%,"$6,704.04",70%
2019,24,Rolls-Royce,"Warren East, CEO",U.K.,"$4,682.36","$4,625.73",1%,"$20,110.93",23%
2019,25,Honeywell 7,"Darius Adamczyk, Chairman and CEO",U.S.,"$4,665.00","$4,100.00",14%,"$41,802.00",11%
2019,26,Harris Corporation 6,"Bill Brown, Chairman, President and CEO",U.S.,"$4,601.60","$4,158.00",11%,"$6,391.10",72%
2019,27,Hanwha,"Seung Youn Kim, Chairman and CEO",South Korea,"$4,281.48","$3,895.27",10%,"$44,304.80",10%
2019,28,Naval Group,"Hervé Guillou, CEO",France,"$4,260.53","$4,178.33",2%,"$4,260.53",100%
2019,29,GE Aviation,"David Joyce, GE Vice Chairman; President and CEO of GE Aviation",U.S.,"$4,100.00","$3,991.00",3%,"$30,566.00",13%
2019,30,Rheinmetall AG,"Armin Papperger, CEO",Germany,"$3,803.54","$3,430.35",11%,"$7,259.91",52%
2019,31,Bechtel,"Brendan Bechtel, Chairman and CEO",U.S.,"$3,745.00","$3,576.00",5%,"$25,500.00",15%
2019,32,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,"$3,591.46","$3,573.95",0%,"$3,664.35",98%
2019,33,AECOM,"Michael Burke, Chairman and CEO",U.S.,"$3,500.00","$3,197.78",9%,"$20,200.00",17%
2019,34,Textron Inc.,"Scott C. Donnelly, Chairman and CEO",U.S.,"$3,350.00","$4,117.42",-19%,"$13,972.00",24%
2019,35,Elbit Systems Ltd. 1,"Bezhalel Machlis, President and CEO",Israel,"$3,326.65","$3,377.83",-2%,"$3,684.00",90%
2019,36,Saab AB,"Håkan Buskhe, President and CEO",Sweden,"$3,243.68","$3,090.07",5%,"$3,816.09",85%
2019,37,CACI International Inc.,"Ken Asbury, President and CEO",U.S.,"$3,032.75","$2,829.31",7%,"$4,467.86",68%
2019,38,Dassault,"Eric Trappier, Chairman and CEO",France,"$2,934.43","$2,124.19",38%,"$6,003.48",49%
2019,39,Babcock International 1,"Archie Bethel, Chief Executive",U.K.,"$2,909.79","$3,341.03",-13%,"$6,206.67",47%
2019,40,Perspecta Inc.,"Mac Curtis, President and CEO",U.S.,"$2,817.70","$2,731.95",3%,"$4,274.27",66%
2019,41,Jacobs,"Steve Demetriou, Chair and CEO",U.S.,"$2,800.00","$2,600.00",8%,"$14,984.65",19%
2019,42,SAIC 8,"Nazzic Keene, CEO-elect *",U.S.,"$2,795.40","$2,761.48",1%,"$4,659.00",60%
2019,43,Hindustan Aeronautics Ltd.,"Raragopalan Madhavan, Chairman and Managing Director *",India,"$2,754.60","$2,720.00",1%,"$2,930.43",94%
2019,44,Israel Aerospace Industries Ltd.,"Nimrod Sheffer, CEO *",Israel,"$2,647.00","$2,469.00",7%,"$3,682.00",72%
2019,45,KNDS 9,"Frank Haun, Co-CEO, and Stephane Mayer, Co-CEO",France,"$2,597.89","$2,991.95",-13%,"$2,597.89",100%
2019,46,Rafael Advanced Defense Systems Ltd.,"Yoav Har-Even, President and CEO",Israel,"$2,592.00","$2,300.06",13%,"$2,592.00",100%
2019,47,KBR,"Stuart Bradie, President and CEO",U.S.,"$2,425.78","$1,546.67",57%,"$4,912.89",49%
2019,48,ST Engineering,"Vincent Chong, President and CEO",Singapore,"$2,100.00","$2,300.00",-9%,"$6,700.00",31%
2019,49,"Aerojet Rocketdyne Holdings, Inc.","Eileen Drake, CEO and President",U.S.,"$1,895.90","$1,870.80",1%,"$1,895.90",100%
2019,50,Oshkosh Defense,"John Bryant, Executive Vice President, Oshkosh Corporation, and President, Oshkosh Defense",U.S.,"$1,828.90","$1,820.10",0%,"$7,710.00",24%
2019,51,DynCorp International,"George Krivo, CEO",U.S.,"$1,803.40","$1,501.09",20%,"$2,148.28",84%
2019,52,Aselsan A.S.,"Haluk Görgün, Chairman, President and CEO",Turkey,"$1,792.63","$1,424.93",26%,"$1,917.60",93%
2019,53,Fluor,"Alan Boeckmann, Executive Chairman, and Carlos Hernandez, CEO *",U.S.,"$1,748.79","$1,217.06",44%,"$19,166.60",9%
2019,54,Korea Aerospace Industries Ltd.,"Kim Jo-Won, President and CEO",South Korea,"$1,694.35",$982.28,72%,"$2,532.57",67%
2019,55,Fincantieri S.p.A.,"Giuseppe Bono, CEO",Italy,"$1,693.51","$1,369.23",24%,"$6,464.02",26%
2019,56,Safran,"Philippe Petitcolin, CEO",France,"$1,636.67","$1,519.70",8%,"$24,857.04",7%
2019,57,Cobham 1,"David Lockwood, CEO *",U.K.,"$1,588.37","$1,584.86",0%,"$2,482.67",64%
2019,58,Sierra Nevada Corp.,"Eren Ozmen, Chairwoman, President and Owner, and Fatih Ozmen, Owner and CEO",U.S.,"$1,500.00",NA,NA,"$1,900.00",79%
2019,59,ManTech International 1,"George Pedersen, Executive Chairman and Chairman of the Board, and Kevin Phillips, President and CEO",U.S.,"$1,450.40","$1,300.00",12%,"$1,960.00",74%
2019,60,Melrose Industries 10,"Simon Peckham, Chief Executive",U.K.,"$1,366.40","$3,484.12",-61%,"$12,012.90",11%
2019,61,LIG Nex1,"Kim Jichan, CEO",South Korea,"$1,341.23","$1,555.24",-14%,"$1,341.23",100%
2019,62,TransDigm,"Kevin Stein, President, CEO and Director",U.S.,"$1,333.89",NA,NA,"$3,811.10",35%
2019,63,Hensoldt,"Thomas Mueller, CEO",Germany,"$1,310.89","$1,082.89",21%,"$1,310.89",100%
2019,64,Serco 1,"Rupert Soames, CEO *",U.K.,"$1,264.02","$1,236.84",2%,"$3,777.39",33%
2019,65,Vectrus,"Chuck Prow, President and CEO",U.S.,"$1,232.74","$1,114.79",11%,"$1,279.30",96%
2019,66,Bharat Electronics Ltd.,"M V Gowtama, Chairman and Managing Director",India,"$1,144.94","$1,270.00",-10%,"$1,686.82",68%
2019,67,QinetiQ Plc,"Steve Wadey, CEO",U.K.,"$1,118.80",$850.64,32%,"$1,216.11",92%
2019,68,Austal,"David Singleton, CEO",Australia,"$1,055.14",$969.12,9%,"$1,078.78",98%
2019,69,Turkish Aerospace Industries ***,"Temel Kotil, President and CEO",Turkey,"$1,050.84","$1,089.63",-4%,"$1,665.66",63%
2019,70,CAE,"Marc Parent, President and CEO",Canada,$995.33,$836.73,19%,"$2,518.04",40%
2019,71,PAE,"John Heller, CEO",U.S.,$980.00,"$1,127.35",-13%,"$2,600.00",38%
2019,72,Meggitt 1,"Tony Wood, CEO*",U.K.,$975.98,$910.97,7%,"$2,776.32",35%
2019,73,Curtiss-Wright,"David Adams, Chairman and CEO",U.S.,$960.60,$862.69,11%,"$2,412.00",40%
2019,74,ViaSat 11,"Mark Dankberg, Chairman of the Board and CEO",U.S.,$955.60,$772.10,24%,"$2,100.00",46%
2019,75,Ball Aerospace,"Robert Strain, President",U.S.,$934.00,$665.17,40%,"$1,197.44",78%
2019,76,Moog Inc.,"John R. Scannell, CEO",U.S.,$925.02,$861.80,7%,"$2,709.47",34%
2019,77,Ruag,"Urs Breitmeier, CEO Ruag Group and Chairman of the Group Executive Board",Switzerland,$898.65,$873.83,3%,"$2,042.40",44%
2019,78,Ultra Electronics,"Simon Pryce, CEO",U.K.,$890.29,$951.97,-6%,"$1,023.37",87%
2019,79,Day & Zimmermann,"Hal Yoh, Chair and CEO",U.S.,$773.77,$617.65,25%,"$2,800.00",28%
2019,80,Kongsberg 12,"Geir Håøy, President and CEO",Norway,$750.00,$771.33,-3%,"$1,766.99",42%
2019,81,Indra,"Fernando Abril-Martorell, Chairman and CEO",Spain,$732.13,$673.41,9%,"$3,660.66",20%
2019,82,Teledyne,"Robert Mehrabian, Executive Chairman",U.S.,$655.30,NA,NA,"$2,902.00",23%
2019,83,John Cockerill Defense 13,"Thierry Renaudin, President",Belgium,$595.15,$344.81,73%,"$1,531.57",39%
2019,84,Embraer,"Francisco Gomes Neto, President and CEO *",Brazil,$593.32,$951.00,-38%,"$5,071.10",12%
2019,85,STM Savunma Teknolojileri Muhendislik ve Ticaret A.S.,"Murat Ikinci, General Manager *",Turkey,$564.83,$369.96,53%,$586.58,96%
2019,85,BMC Otomotiv Sanayi ve Ticaret A.S. **,"Bülent Denkdemir, CEO",Turkey,$554.18,$297.98,86%,$654.99,85%
2019,86,Diehl Defence Holding,"Karl Tragl, CEO*",Germany,$547.92,$515.23,6%,"$4,362.09",13%
2019,87,Cubic,"Bradley H. Feldmann, Chairman, President and CEO",U.S.,$532.18,$907.27,-41%,"$1,202.90",44%
2019,88,Patria 14,"Esa Rautalinko, President and CEO *",Finland,$524.00,$486.17,8%,$556.30,94%
2019,89,Roketsan A.S,"Selcuk Yasar, President and CEO",Turkey,$522.76,$376.08,39%,$522.76,100%
2019,90,AAR,"John M. Holmes, President and CEO",U.S.,$493.72,$597.60,-17%,"$1,748.20",28%
2019,91,Nammo 15,"Morten Brandtzæg, President and CEO",Norway,$487.67,$431.78,13%,$604.52,81%
2019,92,Mercury Systems,"Mark Aslett, President and CEO",U.S.,$473.46,$392.24,21%,$493.18,96%
2019,93,Hyundai Rotem Company,"Lee Geon-Yong, CEO *",South Korea,$459.95,$446.87,3%,"$2,477.93",19%
2019,94,Battelle,"Lewis “Lou” Von Thaer, President and CEO",U.S.,$440.00,$450.00,-2%,"$5,100.00",9%
2019,95,Denel,"Monhla Hlahla, Chairperson*",South Africa,$377.81,$621.23,-39%,$377.81,100%
2019,96,Chemring 1,"Michael Ord, Group Chief Executive",U.K.,$336.90,$585.51,-42%,$396.43,85%
2019,97,Telephonics Corporation,"Kevin McSweeney, President",U.S.,$288.11,$366.91,-21%,"$1,977.92",15%
2019,98,JXTG Energy 16,"Katsuyuki Ota, Representative Director and President",Japan,$176.27,NA,NA,NA,NA
2019,99,Itochu Enex Co. Ltd. 16,"Kenji Okada, Representative Director, President and CEO",Japan,$99.81,NA,NA,"$9,083.92",1%
2018,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",U.S.,"$47,985.00","$43,468.00",10%,"$51,048.00",94%
2018,2,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",U.S.,"$23,573.64","$22,384.17",5%,"$25,348.00",93%
2018,3,BAE Systems,"Charles Woodburn, CEO",U.K.,"$22,380.04","$23,621.84",-5%,"$25,288.20",88%
2018,4,Northrop Grumman 2,"Wes Bush, Chairman and CEO",U.S.,"$21,700.00","$20,200.00",7%,"$25,803.00",84%
2018,5,Boeing 3,"Dennis Muilenburg, President and CEO",U.S.,"$20,561.00","$20,180.00",2%,"$94,005.00",22%
2018,6,General Dynamics 4,"Phebe Novakovic, Chairman and CEO",U.S.,"$19,587.00","$19,696.00",-1%,"$30,973.00",63%
2018,7,Airbus,"Thomas Enders, CEO",Netherlands/France,"$11,185.91","$12,321.00",-9%,"$75,702.63",15%
2018,8,Almaz-Antey 5,"Yan Novikov, CEO",Russia,"$9,125.02","$6,581.69",39%,"$9,125.02",100%
2018,9,Thales,"Patrice Caine, Chairman and CEO",France,"$8,926.13","$8,362.00",7%,"$17,852.26",50%
